IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150814630,ASSAULT,BATTERY,Wednesday,9/16/2015,19:00,NORTHERN,ARREST/ BOOKED,1600 Block of WASHINGTON ST,-122.4204313,37.79341463,(37.7934146346654/ -122.420431296934),1.51E+13
150815597,VEHICLE THEFT,STOLEN TRUCK,Wednesday,9/16/2015,19:00,INGLESIDE,NONE,0 Block of DUNCAN ST,-122.4220127,37.74644916,(37.7464491625882/ -122.422012659838),1.51E+13
150816824,VANDALISM,MALICIOUS MISCHIEF/ VANDALISM,Wednesday,9/16/2015,18:35,MISSION,NONE,3000 Block of 16TH ST,-122.4207629,37.76504034,(37.7650403422958/ -122.420762936447),1.51E+13
150814975,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Wednesday,9/16/2015,18:30,SOUTHERN,NONE,BRYANT ST / BEALE ST,-122.3896395,37.78622504,(37.7862250418081/ -122.389639531543),1.51E+13
150814828,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Wednesday,9/16/2015,18:30,BAYVIEW,NONE,1500 Block of SHAFTER AV,-122.3898491,37.73047415,(37.7304741509374/ -122.389849114797),1.51E+13
150814771,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,18:30,CENTRAL,NONE,1200 Block of THE EMBARCADERONORTH ST,-122.4043871,37.80607839,(37.8060783886253/ -122.404387129122),1.51E+13
150814771,FRAUD,CREDIT CARD/ THEFT BY USE OF,Wednesday,9/16/2015,18:30,CENTRAL,NONE,1200 Block of THE EMBARCADERONORTH ST,-122.4043871,37.80607839,(37.8060783886253/ -122.404387129122),1.51E+13
156230787,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,18:30,SOUTHERN,NONE,0 Block of BRYANT ST,-122.3883336,37.78704935,(37.7870493450273/ -122.388333561781),1.56E+13
150814345,WARRANTS,PROBATION SEARCH,Wednesday,9/16/2015,18:29,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,(37.775420706711/ -122.403404791479),1.51E+13
150814345,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,9/16/2015,18:29,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,(37.775420706711/ -122.403404791479),1.51E+13
150814301,FRAUD,CREDIT CARD/ THEFT BY USE OF,Wednesday,9/16/2015,18:25,SOUTHERN,NONE,600 Block of MARKET ST,-122.401655,37.78890489,(37.7889048945911/ -122.401655040432),1.51E+13
150814301,SECONDARY CODES,ATM RELATED CRIME,Wednesday,9/16/2015,18:25,SOUTHERN,NONE,600 Block of MARKET ST,-122.401655,37.78890489,(37.7889048945911/ -122.401655040432),1.51E+13
150814232,OTHER OFFENSES,DRIVERS LICENSE/ SUSPENDED OR REVOKED,Wednesday,9/16/2015,18:14,BAYVIEW,ARREST/ BOOKED,EVANS AV / TOLAND ST,-122.3960102,37.74726229,(37.7472622922066/ -122.396010154384),1.51E+13
150814260,ROBBERY,ROBBERY/ BODILY FORCE,Wednesday,9/16/2015,18:05,RICHMOND,JUVENILE BOOKED,6300 Block of GEARY BL,-122.4874155,37.77984702,(37.7798470223491/ -122.487415459555),1.51E+13
150814276,NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,Wednesday,9/16/2015,18:00,PARK,NONE,0 Block of BEULAH ST,-122.450911,37.76753573,(37.7675357295038/ -122.450910971518),1.51E+13
150814793,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,18:00,RICHMOND,NONE,32ND AV / CLEMENT ST,-122.4923745,37.78167415,(37.7816741486722/ -122.492374470766),1.51E+13
150815177,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,18:00,SOUTHERN,NONE,1ST ST / MISSION ST,-122.3975764,37.78976193,(37.7897619308836/ -122.397576409113),1.51E+13
150815177,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,9/16/2015,18:00,SOUTHERN,NONE,1ST ST / MISSION ST,-122.3975764,37.78976193,(37.7897619308836/ -122.397576409113),1.51E+13
156231020,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,9/16/2015,18:00,CENTRAL,NONE,THE EMBARCADERONORTH ST / WASHINGTON ST,-122.3953297,37.7966653,(37.7966652983014/ -122.395329662983),1.56E+13
156231020,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,9/16/2015,18:00,CENTRAL,NONE,THE EMBARCADERONORTH ST / WASHINGTON ST,-122.3953297,37.7966653,(37.7966652983014/ -122.395329662983),1.56E+13
156231020,FRAUD,CREDIT CARD/ THEFT BY USE OF,Wednesday,9/16/2015,18:00,CENTRAL,NONE,THE EMBARCADERONORTH ST / WASHINGTON ST,-122.3953297,37.7966653,(37.7966652983014/ -122.395329662983),1.56E+13
150814862,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,18:00,SOUTHERN,NONE,0 Block of BRYANT ST,-122.3891593,37.78652223,(37.7865222343137/ -122.389159297168),1.51E+13
150814367,VANDALISM,MALICIOUS MISCHIEF/ VANDALISM OF VEHICLES,Wednesday,9/16/2015,18:00,INGLESIDE,NONE,3300 Block of MISSION ST,-122.4216445,37.74299701,(37.7429970144076/ -122.421644478447),1.51E+13
150822144,LARCENY/THEFT,PETTY THEFT BICYCLE,Wednesday,9/16/2015,18:00,MISSION,NONE,500 Block of GUERRERO ST,-122.4239565,37.76194488,(37.7619448798252/ -122.423956468),1.51E+13
156230812,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,18:00,SOUTHERN,NONE,300 Block of 11TH ST,-122.4131894,37.77127369,(37.7712736913576/ -122.413189430011),1.56E+13
150815042,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,9/16/2015,18:00,PARK,NONE,1000 Block of HAYES ST,-122.4336615,37.77546523,(37.7754652277638/ -122.433661492778),1.51E+13
150810923,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Wednesday,9/16/2015,17:57,BAYVIEW,ARREST/ BOOKED,1700 Block of INDIANA ST,-122.3901935,37.74846321,(37.7484632085097/ -122.390193507575),1.51E+13
150810923,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,9/16/2015,17:57,BAYVIEW,ARREST/ BOOKED,1700 Block of INDIANA ST,-122.3901935,37.74846321,(37.7484632085097/ -122.390193507575),1.51E+13
150814226,BURGLARY,BURGLARY/ VEHICLE (ARREST MADE),Wednesday,9/16/2015,17:44,SOUTHERN,ARREST/ BOOKED,11TH ST / HOWARD ST,-122.4155645,37.77309948,(37.773099482048/ -122.415564465695),1.51E+13
